2016 Rank	Boys	Births	(2015 Rank)
1	Noah	19015	(1)
2	Liam	18138	(2)
3	William	15668	(5)
4	Mason	15192	(3)
5	James	14776	(7)
6	Benjamin	14569	(10)
7	Jacob	14416	(4)
8	Michael	13998	(9)
9	Elijah	13764	(11)
10	Ethan	13758	(6)
11	Alexander	13321	(8)
12	Oliver	12975	(19)
13	Daniel	12839	(12)
14	Lucas	12838	(16)
15	Matthew	12551	(15)
16	Aiden	12158	(13)
17	Jackson	11210	(17)
18	Logan	11200	(14)
19	David	11028	(18)
20	Joseph	10823	(21)
21	Samuel	10492	(23)
22	Henry	10323	(29)
23	Owen	10249	(36)
24	Sebastian	10249	(35)
25	Gabriel	10142	(22)
26	Carter	10134	(24)
27	Jayden	10063	(20)
28	John	9952	(26)
29	Luke	9930	(28)
30	Anthony	9815	(25)
31	Isaac	9671	(31)
32	Dylan	9657	(27)
33	Wyatt	9514	(34)
34	Andrew	9324	(30)
35	Joshua	9138	(33)
36	Christopher	9020	(32)
37	Grayson	8622	(47)
38	Jack	8367	(40)
39	Julian	8333	(45)
40	Ryan	8215	(39)
41	Jaxon	8054	(44)
42	Levi	8009	(42)
43	Nathan	7933	(38)
44	Caleb	7914	(37)
45	Hunter	7613	(41)
46	Christian	7584	(43)
47	Isaiah	7454	(49)
48	Thomas	7309	(51)
49	Aaron	7118	(52)
50	Lincoln	7076	(66)
51	Charles	7050	(50)
52	Eli	7046	(53)
53	Landon	6987	(46)
54	Connor	6983	(54)
55	Josiah	6928	(57)
56	Jonathan	6914	(48)
57	Cameron	6807	(56)
58	Jeremiah	6546	(55)
59	Mateo	6526	(85)
60	Adrian	6303	(58)
61	Hudson	6098	(65)
62	Robert	5953	(63)
63	Nicholas	5716	(62)
64	Brayden	5679	(61)
65	Nolan	5615	(71)
66	Easton	5606	(78)
67	Jordan	5589	(60)
68	Colton	5580	(59)
69	Evan	5576	(67)
70	Angel	5523	(64)
71	Asher	5466	(83)
72	Dominic	5394	(68)
73	Austin	5334	(69)
74	Leo	5260	(91)
75	Adam	5176	(73)
76	Jace	5169	(75)
77	Jose	5089	(80)
78	Ian	5048	(76)
79	Cooper	4951	(77)
80	Gavin	4913	(70)
81	Carson	4892	(89)
82	Jaxson	4868	(84)
83	Theodore	4859	(99)
84	Jason	4851	(86)
85	Ezra	4830	(92)
86	Chase	4826	(74)
87	Parker	4685	(72)
88	Xavier	4560	(90)
89	Kevin	4526	(79)
90	Zachary	4516	(88)
91	Tyler	4474	(81)
92	Ayden	4472	(87)
93	Elias	4454	(100)
94	Bryson	4333	(133)
95	Leonardo	4310	(103)
96	Greyson	4295	(111)
97	Sawyer	4213	(94)
98	Roman	4187	(102)
99	Brandon	4076	(82)
100	Bentley	4026	(93)
101	Kayden	3987	(95)
102	Ryder	3854	(98)
103	Nathaniel	3850	(97)
104	Vincent	3806	(109)
105	Miles	3714	(107)
106	Santiago	3700	(127)
107	Harrison	3646	(119)
108	Tristan	3607	(101)
109	Declan	3596	(112)
110	Cole	3580	(115)
111	Maxwell	3559	(113)
112	Luis	3543	(106)
113	Justin	3542	(110)
114	Everett	3495	(135)
115	Micah	3447	(108)
116	Axel	3441	(123)
117	Wesley	3407	(126)
118	Max	3394	(118)
119	Silas	3385	(129)
120	Weston	3383	(120)
121	Ezekiel	3341	(148)
122	Juan	3331	(114)
123	Damian	3328	(116)
124	Camden	3322	(104)
125	George	3288	(136)
126	Braxton	3279	(122)
127	Blake	3269	(96)
128	Jameson	3259	(144)
129	Diego	3186	(124)
130	Carlos	3184	(117)
131	Ivan	3146	(138)
132	Kingston	3109	(142)
133	Ashton	3078	(141)
134	Jesus	3065	(128)
135	Brody	3035	(105)
136	Emmett	3033	(139)
137	Abel	3015	(125)
138	Jayce	2954	(132)
139	Maverick	2940	(184)
140	Bennett	2919	(153)
141	Giovanni	2919	(130)
142	Eric	2909	(137)
143	Maddox	2887	(146)
144	Kaiden	2870	(140)
145	Kai	2862	(145)
146	Bryce	2827	(131)
147	Alex	2826	(134)
148	Calvin	2781	(171)
149	Ryker	2779	(149)
150	Jonah	2749	(143)
