2016 Rank	Girls	Births	(2015 Rank)
1	Emma	19414	(1)
2	Olivia	19246	(2)
3	Ava	16237	(4)
4	Sophia	16070	(3)
5	Isabella	14722	(5)
6	Mia	14366	(6)
7	Charlotte	13030	(9)
8	Abigail	11699	(7)
9	Emily	10926	(8)
10	Harper	10733	(10)
11	Amelia	10702	(12)
12	Evelyn	10060	(15)
13	Elizabeth	9493	(13)
14	Sofia	9134	(14)
15	Madison	8982	(11)
16	Avery	8733	(16)
17	Ella	7866	(18)
18	Scarlett	7680	(22)
19	Grace	7531	(19)
20	Chloe	7410	(17)
21	Victoria	7267	(20)
22	Riley	7110	(35)
23	Aria	6904	(29)
24	Lily	6558	(25)
25	Aubrey	6507	(21)
26	Zoey	6414	(23)
27	Penelope	6367	(34)
28	Lillian	6333	(26)
29	Addison	6295	(24)
30	Layla	6234	(30)
31	Natalie	6156	(27)
32	Camila	6036	(43)
33	Hannah	5976	(28)
34	Brooklyn	5922	(31)
35	Zoe	5706	(33)
36	Nora	5561	(41)
37	Leah	5380	(36)
38	Savannah	5336	(38)
39	Audrey	5330	(37)
40	Claire	5190	(49)
41	Eleanor	5100	(60)
42	Skylar	5099	(42)
43	Ellie	5045	(47)
44	Samantha	4924	(40)
45	Stella	4912	(51)
46	Paisley	4839	(45)
47	Violet	4837	(50)
48	Mila	4802	(53)
49	Allison	4762	(39)
50	Alexa	4760	(32)
51	Anna	4749	(44)
52	Hazel	4634	(63)
53	Aaliyah	4611	(48)
54	Ariana	4577	(46)
55	Lucy	4568	(55)
56	Caroline	4410	(62)
57	Sarah	4378	(58)
58	Genesis	4325	(65)
59	Kennedy	4313	(57)
60	Sadie	4264	(52)
61	Gabriella	4215	(54)
62	Madelyn	4208	(59)
63	Adeline	4103	(135)
64	Maya	4055	(69)
65	Autumn	3990	(67)
66	Aurora	3963	(79)
67	Piper	3926	(68)
68	Hailey	3918	(64)
69	Arianna	3869	(56)
70	Kaylee	3814	(61)
71	Ruby	3796	(83)
72	Serenity	3789	(71)
73	Eva	3777	(75)
74	Naomi	3772	(77)
75	Nevaeh	3756	(70)
76	Alice	3669	(87)
77	Luna	3645	(110)
78	Bella	3641	(74)
79	Quinn	3636	(97)
80	Lydia	3590	(81)
81	Peyton	3482	(72)
82	Melanie	3473	(80)
83	Kylie	3396	(66)
84	Aubree	3390	(78)
85	Mackenzie	3390	(73)
86	Kinsley	3353	(113)
87	Cora	3350	(88)
88	Julia	3310	(89)
89	Taylor	3261	(76)
90	Katherine	3259	(84)
91	Madeline	3257	(90)
92	Gianna	3209	(96)
93	Eliana	3185	(103)
94	Elena	3168	(106)
95	Vivian	3124	(95)
96	Willow	3086	(111)
97	Reagan	3081	(99)
98	Brianna	3076	(82)
99	Clara	3055	(98)
100	Faith	3035	(91)
101	Ashley	3024	(85)
102	Emilia	3019	(145)
103	Isabelle	3008	(94)
104	Annabelle	2974	(92)
105	Rylee	2947	(121)
106	Valentina	2908	(114)
107	Everly	2873	(138)
108	Hadley	2871	(102)
109	Sophie	2851	(104)
110	Alexandra	2831	(101)
111	Natalia	2813	(118)
112	Ivy	2797	(129)
113	Maria	2788	(109)
114	Josephine	2766	(131)
115	Delilah	2715	(116)
116	Bailey	2689	(108)
117	Jade	2685	(126)
118	Ximena	2673	(125)
119	Alexis	2662	(86)
120	Alyssa	2662	(93)
121	Brielle	2651	(128)
122	Jasmine	2625	(112)
123	Liliana	2624	(127)
124	Adalynn	2585	(123)
125	Khloe	2520	(100)
126	Isla	2504	(141)
127	Mary	2487	(124)
128	Andrea	2473	(117)
129	Kayla	2456	(115)
130	Emery	2410	(134)
131	London	2339	(105)
132	Kimberly	2321	(107)
133	Morgan	2319	(120)
134	Lauren	2311	(119)
135	Sydney	2309	(122)
136	Nova	2272	(215)
137	Trinity	2215	(130)
138	Lyla	2209	(142)
139	Margaret	2202	(154)
140	Ariel	2177	(137)
141	Adalyn	2176	(132)
142	Athena	2162	(157)
143	Lilly	2132	(139)
144	Melody	2128	(148)
145	Isabel	2100	(149)
146	Jordyn	2092	(136)
147	Jocelyn	2088	(133)
148	Eden	2068	(156)
149	Paige	2041	(140)
150	Teagan	2034	(228)
